,gtfs_route_id,service_date,peak_offpeak_ind,otp_numerator,otp_denominator
151,43,2018-01-23,PEAK,82.0,140.0
152,43,2018-01-24,PEAK,82.0,137.0
153,1,2018-01-24,PEAK,403.0,540.0
154,1,2018-01-24,OFF_PEAK,1071.0,1389.0
155,43,2018-01-24,OFF_PEAK,208.0,359.0
156,749,2018-01-24,PEAK,508.0,650.0
157,751,2018-01-24,OFF_PEAK,1044.0,1367.0
158,751,2018-01-24,PEAK,356.0,497.0
159,749,2018-01-24,OFF_PEAK,1686.0,2005.0
160,43,2018-01-25,OFF_PEAK,195.0,350.0
161,1,2018-01-25,OFF_PEAK,998.0,1296.0
162,1,2018-01-25,PEAK,429.0,542.0
163,43,2018-01-25,PEAK,58.0,140.0
164,749,2018-01-25,OFF_PEAK,1515.0,1836.0
165,751,2018-01-25,OFF_PEAK,1047.0,1333.0
166,751,2018-01-25,PEAK,365.0,501.0
167,749,2018-01-25,PEAK,527.0,609.0
168,751,2018-01-26,PEAK,366.0,470.0
169,751,2018-01-26,OFF_PEAK,1059.0,1340.0
170,749,2018-01-26,PEAK,635.0,785.0
171,749,2018-01-26,OFF_PEAK,1740.0,2280.0
172,1,2018-01-26,OFF_PEAK,852.0,1205.0
173,1,2018-01-26,PEAK,315.0,468.0
174,43,2018-01-26,OFF_PEAK,192.0,357.0
175,43,2018-01-26,PEAK,81.0,140.0
176,749,2018-01-27,OFF_PEAK,2522.0,3229.0
177,43,2018-01-27,OFF_PEAK,263.0,479.0
178,1,2018-01-27,OFF_PEAK,1206.0,1717.0
179,751,2018-01-27,OFF_PEAK,1294.0,1557.0
180,751,2018-01-28,OFF_PEAK,1213.0,1527.0
181,749,2018-01-28,OFF_PEAK,2219.0,2779.0
182,1,2018-01-28,OFF_PEAK,880.0,1197.0
183,43,2018-01-28,OFF_PEAK,245.0,418.0
184,751,2018-01-29,PEAK,383.0,449.0
185,751,2018-01-29,OFF_PEAK,1135.0,1320.0
186,749,2018-01-29,PEAK,683.0,815.0
187,749,2018-01-29,OFF_PEAK,1646.0,2043.0
188,1,2018-01-29,OFF_PEAK,910.0,1192.0
189,1,2018-01-29,PEAK,337.0,467.0
190,43,2018-01-29,OFF_PEAK,280.0,358.0
191,43,2018-01-29,PEAK,90.0,140.0
192,43,2018-01-30,PEAK,59.0,140.0
193,43,2018-01-30,OFF_PEAK,237.0,343.0
194,1,2018-01-30,OFF_PEAK,1045.0,1333.0
195,749,2018-01-30,OFF_PEAK,1846.0,2252.0
196,749,2018-01-30,PEAK,648.0,828.0
197,751,2018-01-30,PEAK,376.0,454.0
