gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
9,9,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,381,457,
10,10,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,129,169,
10,10,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,269,449,
11,11,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,410,533,
11,11,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,263,331,
14,14,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,46,112,
14,14,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,109,223,
15,15,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,504,716,
15,15,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,245,309,
16,16,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,131,252,
16,16,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,359,555,
17,17,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,212,280,
17,17,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,107,141,
18,18,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,30,46,
18,18,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,42,57,
19,19,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,187,372,
19,19,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,135,310,
