gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
29,29,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,83,248,
29,29,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,161,377,
30,30,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,146,263,
30,30,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,57,109,
31,31,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,244,299,
31,31,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,570,760,
32,32,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,835,1102,
32,32,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,455,555,
33,33,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,70,133,
33,33,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,52,76,
34,34,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,179,276,
34,34,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,330,533,
34E,34E,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,353,718,
34E,34E,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,124,316,
35,35,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,110,177,
35,35,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,183,314,
36,36,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,337,491,
36,36,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,114,238,
37,37,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,65,138,
37,37,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,135,218,
38,38,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,154,214,
38,38,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,85,144,
39,39,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,471,624,
39,39,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,981,1397,
40,40,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,113,183,
40,40,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,39,69,
41,41,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,87,172,
41,41,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,140,367,
42,42,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,151,315,
42,42,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,42,93,
43,43,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,84,140,
43,43,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,165,355,
44,44,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,382,575,
44,44,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,170,244,
45,45,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,186,263,
45,45,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,378,528,
47,47,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,175,501,
47,47,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,75,180,
50,50,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,49,109,
50,50,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,79,149,
51,51,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,161,249,
51,51,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,85,130,
52,52,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,101,146,
52,52,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,127,184,
55,55,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,45,70,
55,55,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,87,136,
57,57,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,783,1051,
57,57,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,174,218,
57A,57A,,Limited Service,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,21,30,
57A,57A,,Limited Service,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,121,179,
59,59,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,69,107,
59,59,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,159,200,
60,60,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,100,168,
60,60,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,284,443,
62,62,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,135,218,
