shape_id,shape_pt_lat,shape_pt_lon
010070,42.33879500000001,-71.079717
010070,42.33914,-71.08013000000003
010070,42.33932100000001,-71.08032
010070,42.339423,-71.080425
010070,42.339423,-71.080425
010070,42.339923,-71.080939
010070,42.340288,-71.081301
010070,42.340436,-71.081479
010070,42.340574,-71.081662
010070,42.340574,-71.081662
010070,42.340638,-71.081747
010070,42.340801,-71.082025
010070,42.341458,-71.083025
010070,42.341535,-71.083136
010070,42.341535,-71.083136
010070,42.341559,-71.08317199999998
010070,42.34161,-71.083256
010070,42.342178,-71.084097
010070,42.342244,-71.084194
010070,42.342244,-71.084194
010070,42.342688,-71.084854
010070,42.342811,-71.085047
010070,42.343318,-71.085798
010070,42.343374,-71.085853
010070,42.343473,-71.08590799999998
010070,42.344847,-71.086549
010070,42.344937,-71.086597
010070,42.345319,-71.086784
010070,42.345319,-71.086784
010070,42.345439,-71.086843
010070,42.34591,-71.087068
010070,42.346472,-71.087346
010070,42.346631,-71.087429
010070,42.3469,-71.087549
010070,42.347286,-71.08775899999998
010070,42.34799,-71.088089
010070,42.34799,-71.088089
010070,42.348105,-71.088142
010070,42.348464,-71.088317
010070,42.348851,-71.088521
010070,42.34888400000001,-71.088534
010070,42.349251,-71.088699
010070,42.34969,-71.088925
010070,42.35005,-71.0891
010070,42.350444,-71.08929300000001
010070,42.350502,-71.08932800000002
010070,42.35074,-71.08945
010070,42.35074,-71.08945
010070,42.350834000000006,-71.089499
010070,42.351766,-71.08994100000002
010070,42.35433,-71.091202
010070,42.35701,-71.092517
010070,42.357269,-71.092641
010070,42.357609,-71.092805
010070,42.358175,-71.093091
010070,42.358449,-71.093226
010070,42.358717,-71.093377
010070,42.358877,-71.093476
010070,42.358975,-71.093537
010070,42.35913400000001,-71.093659
010070,42.35913400000001,-71.093659
010070,42.359202,-71.093711
010070,42.359331,-71.09383299999998
010070,42.359596,-71.09410799999998
010070,42.359762,-71.094311
010070,42.360153,-71.094854
010070,42.360389,-71.09524300000002
010070,42.360698,-71.095784
010070,42.360698,-71.095784
010070,42.360823,-71.09600400000002
010070,42.361127,-71.096532
010070,42.36137100000001,-71.096952
010070,42.36174000000001,-71.097601
010070,42.361966,-71.097955
010070,42.362637,-71.099052
010070,42.362853,-71.099397
010070,42.362936,-71.09954
010070,42.362936,-71.09954
010070,42.362968,-71.099595
010070,42.36318,-71.09995699999997
010070,42.363505,-71.100505
010070,42.363713,-71.100894
010070,42.363875,-71.10119
010070,42.363987,-71.101388
010070,42.364412,-71.1021
010070,42.3647,-71.102575
010070,42.365057,-71.103181
010070,42.365236,-71.10346700000002
010070,42.365236,-71.10346700000002
010070,42.365404,-71.103735
010070,42.365547,-71.103954
010070,42.365601,-71.10405300000002
010070,42.365974,-71.1047
010070,42.3664,-71.10540999999998
010070,42.366576,-71.105701
010070,42.366797,-71.106061
010070,42.366797,-71.106061
010070,42.366974,-71.106349
010070,42.367197,-71.10668299999998
010070,42.367413,-71.107016
010070,42.367607,-71.107338
010070,42.36782,-71.107658
010070,42.367839,-71.107715
010070,42.36802700000001,-71.10805699999997
010070,42.368073,-71.10815500000002
010070,42.368319,-71.108678
010070,42.368319,-71.108678
010070,42.368366,-71.108779
010070,42.368721,-71.109573
010070,42.368989,-71.110265
010070,42.369162,-71.11073499999998
010070,42.369192,-71.11081999999998
010070,42.369192,-71.11081999999998
010070,42.36956,-71.11186
010070,42.369823,-71.11260899999998
010070,42.370102,-71.112936
010070,42.370208,-71.11308100000002
010070,42.370208,-71.11308100000002
010070,42.370379,-71.113315
010070,42.370611,-71.11363399999998
010070,42.370822,-71.113906
010070,42.371135,-71.11431
010070,42.371851,-71.11516400000002
010070,42.371947,-71.11529300000002
010070,42.372068,-71.11542299999998
010070,42.372068,-71.11542299999998
010070,42.372204,-71.115569
010070,42.372573,-71.116077
010070,42.372681,-71.11636899999998
010070,42.372684,-71.116414
010070,42.372766,-71.11668
010070,42.372888,-71.117129
010070,42.372964,-71.117384
010070,42.373096,-71.117908
010070,42.373178,-71.11816999999998
430029,42.336389,-71.089049
430029,42.336052,-71.08945
430029,42.335905,-71.08960400000002
430029,42.335548,-71.09008399999998
430029,42.33541,-71.090266
430029,42.334745,-71.089722
430029,42.33452800000001,-71.089528
430029,42.334412,-71.089423
430029,42.334835,-71.088589
430029,42.334835,-71.088589
430029,42.334882,-71.08849599999998
430029,42.335222,-71.087807
430029,42.335358,-71.08751
430029,42.335614,-71.087032
430029,42.33564000000001,-71.086991
430029,42.335719,-71.086846
430029,42.335719,-71.086846
430029,42.335829,-71.086642
430029,42.336004,-71.086387
430029,42.33625900000001,-71.085939
430029,42.336557,-71.085383
430029,42.336849,-71.084845
430029,42.337131,-71.084339
430029,42.337277,-71.084073
430029,42.337277,-71.084073
430029,42.337326,-71.083985
430029,42.337431,-71.083798
430029,42.337719,-71.083288
430029,42.337828,-71.08308199999998
430029,42.337828,-71.08308199999998
430029,42.33788,-71.082984
430029,42.33814,-71.08247800000002
430029,42.338402,-71.08197
430029,42.338827,-71.081242
430029,42.338827,-71.081242
430029,42.338872,-71.081165
430029,42.339276,-71.08040799999998
430029,42.33932100000001,-71.08032
430029,42.339649,-71.079685
430029,42.339649,-71.079685
430029,42.339695,-71.079596
430029,42.340102,-71.078849
430029,42.340162,-71.078724
430029,42.340444,-71.078192
430029,42.340444,-71.078192
430029,42.340506,-71.078075
430029,42.340905,-71.07731899999997
430029,42.341268,-71.07668699999998
430029,42.341268,-71.07668699999998
430029,42.341322,-71.076593
430029,42.341646,-71.075983
430029,42.341925,-71.075449
430029,42.341925,-71.075449
430029,42.341977,-71.07535
430029,42.342378,-71.074603
430029,42.342703,-71.073977
430029,42.342703,-71.073977
430029,42.342817,-71.073757
430029,42.343146,-71.07315899999998
430029,42.343328,-71.072818
430029,42.343595,-71.072315
430029,42.343819,-71.071865
430029,42.34391,-71.071686
430029,42.34391,-71.071686
430029,42.343962,-71.071585
430029,42.344245,-71.071077
430029,42.344382,-71.07084
430029,42.344517,-71.07059
430029,42.344622,-71.07045
430029,42.34485,-71.070207
430029,42.345059,-71.070012
430029,42.345167,-71.069911
430029,42.345167,-71.069911
430029,42.34525,-71.069835
430029,42.345471,-71.06971
430029,42.345857,-71.06949200000003
430029,42.346607,-71.069088
430029,42.346838,-71.068957
430029,42.346939,-71.06890200000002
430029,42.347374,-71.068664
430029,42.34738,-71.06866
430029,42.34738,-71.06866
430029,42.347461,-71.06861500000002
430029,42.347663,-71.068438
430029,42.347746,-71.068337
430029,42.347853,-71.06819399999998
430029,42.347929,-71.068081
430029,42.34796400000001,-71.068028
430029,42.348215,-71.067635
430029,42.348215,-71.067635
430029,42.348277,-71.067539
430029,42.348368,-71.067335
430029,42.348748,-71.066614
430029,42.348793,-71.066556
430029,42.348862,-71.066512
430029,42.348973,-71.066487
430029,42.349393,-71.06653
430029,42.349705,-71.06659300000003
430029,42.350223,-71.066696
430029,42.350948,-71.066869
430029,42.35172,-71.067216
430029,42.35172,-71.067216
430029,42.351803,-71.06725300000002
430029,42.352481,-71.06747
430029,42.352817,-71.067623
430029,42.353025,-71.067702
430029,42.353258,-71.06782
430029,42.353973,-71.06822700000002
430029,42.355507,-71.069055
430029,42.355718,-71.069168
430029,42.356048,-71.06936400000002
430029,42.356048,-71.06936400000002
430029,42.356161,-71.06943199999998
430029,42.356306,-71.068917
430029,42.356351,-71.068731
430029,42.356589,-71.067644
430029,42.356734,-71.06700500000002
430029,42.356987,-71.065794
430029,42.35699,-71.065782
430029,42.35699,-71.065782
430029,42.357132,-71.065174
430029,42.357155,-71.065099
430029,42.357305,-71.06451
430029,42.357441,-71.064051
430029,42.357553,-71.063654
430029,42.357688,-71.06330200000002
430029,42.357688,-71.06330200000002
430029,42.357705,-71.06325799999998
430029,42.357436,-71.06299
430029,42.356497,-71.061983
430029,42.356244,-71.062269
430029,42.355668,-71.06286899999998
430031,42.355668,-71.06286899999998
430031,42.355625,-71.062914
430031,42.3555,-71.06304399999998
430031,42.35532,-71.063209
430031,42.355129,-71.063362
430031,42.355047,-71.06342
430031,42.354746,-71.063594
430031,42.353962,-71.063989
430031,42.353381,-71.064236
430031,42.353234,-71.064295
430031,42.353234,-71.064295
430031,42.353051,-71.064368
430031,42.352346,-71.06456899999998
430031,42.351695,-71.06472600000002
430031,42.351077,-71.064915
430031,42.350593,-71.065065
430031,42.349808,-71.06529300000003
430031,42.349594,-71.065337
430031,42.349594,-71.065337
430031,42.348595,-71.06554200000002
430031,42.348731,-71.06649300000002
430031,42.348731,-71.06649300000002
430031,42.348748,-71.066614
430031,42.348368,-71.067335
430031,42.348277,-71.067539
430031,42.34796400000001,-71.068028
430031,42.347929,-71.068081
430031,42.347853,-71.06819399999998
430031,42.347746,-71.068337
430031,42.347663,-71.068438
430031,42.347461,-71.06861500000002
430031,42.347374,-71.068664
430031,42.346939,-71.06890200000002
430031,42.346838,-71.068957
430031,42.346678,-71.069048
430031,42.346678,-71.069048
430031,42.346607,-71.069088
430031,42.345857,-71.06949200000003
430031,42.345471,-71.06971
430031,42.345443,-71.069725
430031,42.345443,-71.069725
430031,42.34525,-71.069835
430031,42.345059,-71.070012
430031,42.34485,-71.070207
430031,42.344622,-71.07045
430031,42.344517,-71.07059
430031,42.344382,-71.07084
430031,42.344245,-71.071077
430031,42.343962,-71.071585
430031,42.343819,-71.071865
430031,42.343636,-71.072231
430031,42.343636,-71.072231
430031,42.343595,-71.072315
430031,42.343328,-71.072818
430031,42.343146,-71.07315899999998
430031,42.342874,-71.073654
430031,42.342874,-71.073654
430031,42.342817,-71.073757
430031,42.342378,-71.074603
430031,42.341977,-71.07535
430031,42.341699,-71.07588
430031,42.341699,-71.07588
430031,42.341646,-71.075983
430031,42.341322,-71.076593
430031,42.340949,-71.077242
430031,42.340949,-71.077242
430031,42.340905,-71.07731899999997
430031,42.340506,-71.078075
430031,42.340162,-71.078724
430031,42.340148,-71.078753
430031,42.340148,-71.078753
430031,42.340102,-71.078849
430031,42.339695,-71.079596
430031,42.339638,-71.079707
430031,42.339638,-71.079707
430031,42.33932100000001,-71.08032
430031,42.339276,-71.08040799999998
430031,42.338913,-71.081088
430031,42.338913,-71.081088
430031,42.338872,-71.081165
430031,42.338402,-71.08197
430031,42.33814,-71.08247800000002
430031,42.33788,-71.082984
430031,42.337793,-71.083149
430031,42.337793,-71.083149
430031,42.337719,-71.083288
430031,42.337431,-71.083798
430031,42.337326,-71.083985
430031,42.337131,-71.084339
430031,42.336886,-71.084779
430031,42.336886,-71.084779
430031,42.336849,-71.084845
430031,42.336557,-71.085383
430031,42.33625900000001,-71.085939
430031,42.336004,-71.086387
430031,42.335873,-71.08671
430031,42.33576,-71.08693000000002
430031,42.33576,-71.08693000000002
430031,42.335694,-71.087059
430031,42.335972,-71.087349
430031,42.336278,-71.08765
430031,42.336385,-71.08773599999998
430031,42.336708,-71.088014
430031,42.336968,-71.088246
430031,42.336908,-71.088349
430031,42.336848,-71.088486
430031,42.336737,-71.088636
430031,42.336389,-71.089049
7490022,42.355303,-71.062288
7490022,42.355625,-71.062914
7490022,42.3555,-71.06304399999998
7490022,42.35532,-71.063209
7490022,42.355129,-71.063362
7490022,42.355047,-71.06342
7490022,42.354746,-71.063594
7490022,42.353962,-71.063989
7490022,42.353381,-71.064236
7490022,42.353234,-71.064295
7490022,42.353234,-71.064295
7490022,42.353051,-71.064368
7490022,42.352346,-71.06456899999998
7490022,42.351695,-71.06472600000002
7490022,42.351077,-71.064915
7490022,42.35096400000001,-71.063559
7490022,42.350909,-71.063041
7490022,42.350622,-71.063193
7490022,42.350423,-71.06331800000002
7490022,42.349883,-71.06359599999998
7490022,42.349883,-71.06359599999998
7490022,42.349441,-71.063824
7490022,42.349065,-71.06396
7490022,42.348391,-71.064151
7490022,42.347808,-71.064298
7490022,42.34733,-71.064413
7490022,42.346597,-71.064595
7490022,42.346449,-71.064628
7490022,42.346449,-71.064628
7490022,42.346408,-71.064636
7490022,42.346128,-71.064717
7490022,42.345881,-71.0648
7490022,42.345726,-71.064875
7490022,42.344952,-71.065318
7490022,42.344685,-71.065475
7490022,42.343939,-71.065968
7490022,42.343801,-71.066052
7490022,42.343801,-71.066052
7490022,42.343719,-71.066101
7490022,42.34347800000001,-71.066262
7490022,42.343383,-71.06635899999998
7490022,42.343186,-71.066585
7490022,42.34300800000001,-71.066817
7490022,42.342797,-71.067068
7490022,42.342111,-71.067929
7490022,42.342,-71.068085
7490022,42.341867,-71.06829300000003
7490022,42.341799,-71.068416
7490022,42.341713,-71.06863299999998
7490022,42.341647,-71.068783
7490022,42.341343,-71.069639
7490022,42.341262,-71.06983000000002
7490022,42.341147,-71.07006700000002
7490022,42.340776,-71.070708
7490022,42.340526,-71.07109
7490022,42.34043,-71.071237
7490022,42.34043,-71.071237
7490022,42.340042,-71.071827
7490022,42.339601,-71.072506
7490022,42.338855,-71.073631
7490022,42.338753,-71.07378100000003
7490022,42.338753,-71.07378100000003
7490022,42.338407,-71.07428900000002
7490022,42.337905,-71.074979
7490022,42.337445,-71.075648
7490022,42.337302,-71.075843
7490022,42.337302,-71.075843
7490022,42.336956,-71.076318
7490022,42.336517,-71.076938
7490022,42.336458,-71.077022
7490022,42.336337,-71.07718100000002
7490022,42.336337,-71.07718100000002
7490022,42.335995,-71.07763299999998
7490022,42.335039,-71.078806
7490022,42.334944,-71.078924
7490022,42.334944,-71.078924
7490022,42.334624,-71.07932
7490022,42.334584,-71.079363
7490022,42.334258,-71.079828
7490022,42.334178,-71.079943
7490022,42.333987,-71.080188
7490022,42.33376,-71.080453
7490022,42.333632,-71.08058199999998
7490022,42.333517,-71.08068
7490022,42.332965,-71.08107700000002
7490022,42.332898,-71.081127
7490022,42.332768,-71.08118499999998
7490022,42.332768,-71.08118499999998
7490022,42.332539,-71.081273
7490022,42.332274,-71.081414
7490022,42.33194,-71.081717
7490022,42.331752,-71.08193399999998
7490022,42.331371,-71.08237199999998
7490022,42.331055,-71.082716
7490022,42.330817,-71.082987
7490022,42.330665,-71.083201
7490022,42.330586,-71.083344
7490022,42.330455,-71.083721
7490022,42.3303,-71.084053
7490022,42.330174,-71.08421700000002
7490022,42.330063,-71.084324
7490022,42.329905,-71.084446
7490022,42.329848,-71.083876
7490023,42.329848,-71.083876
7490023,42.329788,-71.083268
7490023,42.330089,-71.083198
7490023,42.330296,-71.083161
7490023,42.330493,-71.083112
7490023,42.330643,-71.083066
7490023,42.330817,-71.082987
7490023,42.331055,-71.082716
7490023,42.331371,-71.08237199999998
7490023,42.331752,-71.08193399999998
7490023,42.33194,-71.081717
7490023,42.332274,-71.081414
7490023,42.332436,-71.081253
7490023,42.332513,-71.081194
7490023,42.332644,-71.08110699999997
7490023,42.332822,-71.081002
7490023,42.332898,-71.080958
7490023,42.333044,-71.080859
7490023,42.333044,-71.080859
7490023,42.333473,-71.080567
7490023,42.333705,-71.08035699999998
7490023,42.333846,-71.08019300000002
7490023,42.334106,-71.07984599999997
7490023,42.334584,-71.079363
7490023,42.334624,-71.07932
7490023,42.334965,-71.078898
7490023,42.334965,-71.078898
7490023,42.335039,-71.078806
7490023,42.335995,-71.07763299999998
7490023,42.336379,-71.077126
7490023,42.336379,-71.077126
7490023,42.336458,-71.077022
7490023,42.336517,-71.076938
7490023,42.336956,-71.076318
7490023,42.337445,-71.075648
7490023,42.337544,-71.07550400000002
7490023,42.337544,-71.07550400000002
7490023,42.337905,-71.074979
7490023,42.338407,-71.07428900000002
7490023,42.338796,-71.073718
7490023,42.338796,-71.073718
7490023,42.338855,-71.073631
7490023,42.339601,-71.072506
7490023,42.340042,-71.071827
7490023,42.340526,-71.07109
7490023,42.340776,-71.070708
7490023,42.341147,-71.07006700000002
7490023,42.341262,-71.06983000000002
7490023,42.341343,-71.069639
7490023,42.341401,-71.069478
7490023,42.341401,-71.069478
7490023,42.341647,-71.068783
7490023,42.341713,-71.06863299999998
7490023,42.341799,-71.068416
7490023,42.341867,-71.06829300000003
7490023,42.342,-71.068085
7490023,42.342111,-71.067929
7490023,42.342797,-71.067068
7490023,42.34300800000001,-71.066817
7490023,42.343186,-71.066585
